city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Bartoszyce,54.2535,20.8082,Poland,PL,Warmińsko-Mazurskie,minor,,
Maków Mazowiecki,52.8649,21.1005,Poland,PL,Mazowieckie,minor,,
Sierpc,52.8833,19.6667,Poland,PL,Mazowieckie,minor,,
Wodzisław Śląski,50.0000,18.4500,Poland,PL,Śląskie,minor,,
Żory,50.0500,18.7000,Poland,PL,Śląskie,minor,,
Radomsko,51.0667,19.4500,Poland,PL,Łódzkie,minor,,
Wołomin,52.3500,21.2333,Poland,PL,Mazowieckie,minor,,
Radzyń Podlaski,51.7833,22.6167,Poland,PL,Lubelskie,minor,,
Sławno,54.3667,16.6833,Poland,PL,Zachodniopomorskie,minor,,
Stalowa Wola,50.5833,22.0500,Poland,PL,Podkarpackie,minor,,
Racibórz,50.0919,18.2193,Poland,PL,Śląskie,minor,,
Piła,53.1500,16.7333,Poland,PL,Wielkopolskie,minor,,
Żywiec,49.7063,19.2097,Poland,PL,Śląskie,minor,,
Świdwin,53.7667,15.7833,Poland,PL,Zachodniopomorskie,minor,,
Przasnysz,53.0167,20.8833,Poland,PL,Mazowieckie,minor,,
Żagań,51.6167,15.3167,Poland,PL,Lubuskie,minor,,
Piaseczno,52.0667,21.0167,Poland,PL,Mazowieckie,minor,,
Wysokie Mazowieckie,52.9192,22.5144,Poland,PL,Podlaskie,minor,,
Leżajsk,50.2655,22.4186,Poland,PL,Podkarpackie,minor,,
Zawiercie,50.4877,19.4168,Poland,PL,Śląskie,minor,,
Kędzierzyn-Koźle,50.3333,18.2000,Poland,PL,Opolskie,minor,,
Bieruń,50.0911,19.0910,Poland,PL,Śląskie,minor,,
Myszków,50.5752,19.3246,Poland,PL,Śląskie,minor,,
Słupsk,54.4667,17.0333,Poland,PL,Pomorskie,minor,,
Węgrów,52.3995,22.0163,Poland,PL,Mazowieckie,minor,,
Wadowice,49.8833,19.5000,Poland,PL,Małopolskie,minor,,
Olkusz,50.2813,19.5650,Poland,PL,Małopolskie,minor,,
Sucha Beskidzka,49.7403,19.5886,Poland,PL,Małopolskie,minor,,
Ożarów Mazowiecki,52.2167,20.8000,Poland,PL,Mazowieckie,minor,,
Pszczyna,49.9804,18.9538,Poland,PL,Śląskie,minor,,
Myślenice,49.8333,19.9333,Poland,PL,Małopolskie,minor,,
Lubliniec,50.6690,18.6844,Poland,PL,Śląskie,minor,,
Wieluń,51.2206,18.5700,Poland,PL,Łódzkie,minor,,
Wyszków,52.5928,21.4584,Poland,PL,Mazowieckie,minor,,
Rawicz,51.6092,16.8575,Poland,PL,Wielkopolskie,minor,,
Września,52.3333,17.5833,Poland,PL,Wielkopolskie,minor,,
Śrem,52.0833,17.0167,Poland,PL,Wielkopolskie,minor,,
Kępno,51.2784,17.9891,Poland,PL,Wielkopolskie,minor,,
Ropczyce,50.0833,21.6333,Poland,PL,Podkarpackie,minor,,
Dąbrowa Tarnowska,50.1750,20.9833,Poland,PL,Małopolskie,minor,,
Polkowice,51.5011,16.0675,Poland,PL,Dolnośląskie,minor,,
Kartuzy,54.3342,18.1974,Poland,PL,Pomorskie,minor,,
Szamotuły,52.6000,16.5833,Poland,PL,Wielkopolskie,minor,,
Proszowice,50.2000,20.3000,Poland,PL,Małopolskie,minor,,
Kłobuck,50.9008,18.9367,Poland,PL,Śląskie,minor,,
Nisko,50.5333,22.1333,Poland,PL,Podkarpackie,minor,,
Ząbkowice Śląskie,50.5897,16.8124,Poland,PL,Dolnośląskie,minor,,
Strzelce Opolskie,50.5000,18.2833,Poland,PL,Opolskie,minor,,
Strzyżów,49.8833,21.7833,Poland,PL,Podkarpackie,minor,,
Środa Wielkopolska,52.2333,17.2833,Poland,PL,Wielkopolskie,minor,,
Wieruszów,51.3000,18.1500,Poland,PL,Łódzkie,minor,,
Końskie,51.2000,20.4167,Poland,PL,Świętokrzyskie,minor,,
Busko-Zdrój,50.4667,20.7167,Poland,PL,Świętokrzyskie,minor,,
Nowy Tomyśl,52.3167,16.1333,Poland,PL,Wielkopolskie,minor,,
Białobrzegi,51.6500,20.9500,Poland,PL,Mazowieckie,minor,,
Miechów,50.3578,20.0325,Poland,PL,Małopolskie,minor,,
Ryki,51.6333,21.9333,Poland,PL,Lubelskie,minor,,
Ostrzeszów,51.4000,18.0000,Poland,PL,Wielkopolskie,minor,,
Strzelin,50.7833,17.0667,Poland,PL,Dolnośląskie,minor,,
Szydłowiec,51.2282,20.8611,Poland,PL,Mazowieckie,minor,,
Staszów,50.5606,21.1667,Poland,PL,Świętokrzyskie,minor,,
Żuromin,53.0661,19.9089,Poland,PL,Mazowieckie,minor,,
Opatów,50.8050,21.4247,Poland,PL,Świętokrzyskie,minor,,
Sztum,53.9217,19.0336,Poland,PL,Pomorskie,minor,,
Słubice,52.3500,14.5667,Poland,PL,Lubuskie,minor,,
Lesko,49.4661,22.3289,Poland,PL,Podkarpackie,minor,,
Żnin,52.8496,17.7199,Poland,PL,Kujawsko-Pomorskie,minor,,
Pajęczno,51.1500,19.0000,Poland,PL,Łódzkie,minor,,
Parczew,51.6333,22.8667,Poland,PL,Lubelskie,minor,,
Mogilno,52.6583,17.9500,Poland,PL,Kujawsko-Pomorskie,minor,,
Pińczów,50.5205,20.5265,Poland,PL,Świętokrzyskie,minor,,
Pyrzyce,53.1417,14.8917,Poland,PL,Zachodniopomorskie,minor,,
Mońki,53.4069,22.7972,Poland,PL,Podlaskie,minor,,
Środa Śląska,51.1500,16.5833,Poland,PL,Dolnośląskie,minor,,
Opole Lubelskie,51.1500,21.9667,Poland,PL,Lubelskie,minor,,
Łosice,52.2167,22.7167,Poland,PL,Mazowieckie,minor,,
Zwoleń,51.3554,21.5877,Poland,PL,Mazowieckie,minor,,
Namysłów,51.0728,17.7069,Poland,PL,Opolskie,minor,,
Nowy Dwór Gdański,54.2167,19.1167,Poland,PL,Pomorskie,minor,,
Tuchola,53.5879,17.8590,Poland,PL,Kujawsko-Pomorskie,minor,,
Lipsko,51.1595,21.6493,Poland,PL,Mazowieckie,minor,,
Sokółka,53.4050,23.4967,Poland,PL,Podlaskie,minor,,
Włoszczowa,50.8542,19.9669,Poland,PL,Świętokrzyskie,minor,,
Olesno,50.8750,18.4167,Poland,PL,Opolskie,minor,,
Sępólno Krajeńskie,53.4500,17.5300,Poland,PL,Kujawsko-Pomorskie,minor,,
Poddębice,51.9000,18.9667,Poland,PL,Łódzkie,minor,,
Przysucha,51.3586,20.6289,Poland,PL,Mazowieckie,minor,,
Wołów,51.3414,16.6283,Poland,PL,Dolnośląskie,minor,,
Myślibórz,52.9250,14.8667,Poland,PL,Zachodniopomorskie,minor,,
Łobez,53.6392,15.6214,Poland,PL,Zachodniopomorskie,minor,,
Milicz,51.5333,17.2833,Poland,PL,Dolnośląskie,minor,,
Strzelce Krajeńskie,52.8833,15.5167,Poland,PL,Lubuskie,minor,,
Pisz,53.6274,21.8125,Poland,PL,Warmińsko-Mazurskie,minor,,
Sulęcin,52.4500,15.1167,Poland,PL,Lubuskie,minor,,
Ustrzyki Dolne,49.4333,22.6000,Poland,PL,Podkarpackie,minor,,
Międzychód,52.6010,15.8899,Poland,PL,Wielkopolskie,minor,,
